Subject Unique Identifier,Baseline,3 Month Followup,6 Month Followup
9588,41,22,16
9478,12,8,8
9553,24,12,15
87,20,24,27
4751,25,24,14
5938,40,38,36
2648,41,36,29
8888,55,25,98
1116,14,13,7
2102,4,21,20
3994,4,3,20
11159,13,17,13
11179,13,15,9
11331,10,18,15
335,27,27,21
1221,29,15,16
2161,30,24,18
3393,25,22,16
4468,19,5,15
5097,20,20,13
5696,26,31,39
6341,16,17,16
9739,14,24,26
10593,22,12,12
11401,23,23,27
800,54,30,29
2726,45,36,34
3360,41,24,25
4645,35,31,42
9779,37,29,29
192,12,13,12
748,70,34,35
